年份,物种名,样线编码,调查次序,省份,长度,宽度,经度,纬度,物种数量
2020,绿头鸭,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,绿翅鸭,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,小䴙䴘,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,凤头䴙䴘,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,白骨顶,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,灰鹤,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,凤头麦鸡,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,鹤鹬,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,青脚鹬,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,红嘴鸥,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,西伯利亚银鸥,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,东方白鹳,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,普通鸬鹚,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,白琵鹭,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,苍鹭,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,鸿雁,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,豆雁,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,斑嘴鸭,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,灰雁,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,白额雁,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,赤颈鸭,3600720001,1,江西,100,100,116.2792,28.9197,21
2020,鸿雁,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,豆雁,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,灰雁,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,赤颈鸭,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,斑嘴鸭,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,绿翅鸭,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,琵嘴鸭,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,凤头䴙䴘,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,灰鹤,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,鹤鹬,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,红嘴鸥,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,东方白鹳,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,白琵鹭,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,苍鹭,3600720001,1,江西,100,100,116.3204,28.8893,15
2020,大白鹭,3600720002,1,江西,100,100,116.3204,28.8893,15
